品番,品名,整備室,仕入先名/工場名,間口(vlook),間口,通箱名,かんばん情報.収容数,登録箱種,納入ｻｲｸﾙ.間隔,納入ｻｲｸﾙ.回数,納入ｻｲｸﾙ.情報,基準在庫.日数,基準在庫.枚数,MIN在庫日数,MAX在庫日数,便平均上限振れ率,便平均下限振れ率
9056446A018,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A019,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A020,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A021,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A022,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A023,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A024,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056446A025,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A040,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A041,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A042,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A043,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A044,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A045,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A046,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A047,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A048,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A049,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A050,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A051,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A052,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A053,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A054,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A055,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A056,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A057,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A058,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A059,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A060,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A061,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A062,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A063,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056447A064,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A001,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A002,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A003,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A004,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A005,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A006,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A007,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A008,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056450A009,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A066,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A067,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A068,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A069,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A070,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A071,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A072,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A073,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A074,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A075,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A076,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A077,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A078,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A079,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A080,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A081,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A082,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A083,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A084,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A085,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A086,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A087,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A088,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A089,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A090,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A091,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A092,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A093,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A094,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A095,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A096,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A097,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A098,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A099,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A100,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A101,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A102,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A103,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A104,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A105,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A106,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A107,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A108,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A109,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A110,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A111,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056451A112,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A018,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A019,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A020,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A021,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A022,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A023,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A024,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A025,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A026,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A027,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A028,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A029,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A030,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A031,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A032,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A033,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A034,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A035,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A036,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A037,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A038,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A039,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A040,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A041,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A042,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A043,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A044,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A045,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A046,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A047,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A048,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A049,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A050,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A051,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A052,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A053,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A054,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A055,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A056,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
9056455A057,SHIM,1Y,（株）ムロコーポレーション,A1,A1,TP-131,100,TP131ﾌﾀﾅｼ,1,1,0.73,0.93,3,0.93,0.93,1.1,0.5
