,品番,年,週番号,在庫数（箱）,入庫数（箱）,出庫数（箱）,仕入先名,日量数（箱数）,発注〜印刷LT,発注〜検収LT,発注〜順立装置入庫LT,発注〜順立装置出庫LT,発注〜回収LT,基準在庫日数,基準在庫日数（基準在庫枚数込み）,基準在庫枚数,箱種類,納入回数（間隔）,納入回数（回数）,納入回数（遅れ）,回収かんばん数,印刷検収LT,検収入庫LT,入庫出庫LT,出庫回収LT,社内LT（検収〜回収LT）,不等ピッチ係数,社内LT/設計値LT,社内LT/設計値LT（基準在庫枚数込み）,順立装置在庫量/設計値MIN,順立装置在庫量/設計値MAX,時間稼働率,加工数,使用工程
0,01912ECB040    ,2023,36,30.5,85.0,84.0,愛産樹脂工業（株）,17.9,0.25,4.37,4.38,6.26,6.5,0.67,0.8363524453809471,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,93,4.12,0.009999999999999787,1.88,0.2400000000000002,2.13,0.0,3.17910447761194,2.5467732075917042,13.631284916201114,1.6051546058337718,97.81,480.0,8.ファイナル後半
1,01912ECB060    ,2023,36,3.0,4.0,5.0,新光ゴム工業（株）,0.42,0.12,5.41,5.37,11.64,13.135000000000002,0.78,3.9821347565043372,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,4,5.29,-0.040000000000000036,6.2700000000000005,1.495000000000001,7.725000000000001,0.0,9.903846153846157,1.939914260154593,57.14285714285714,0.05238449219471067,97.81,480.0,8.ファイナル後半
2,1040043104R    ,2023,36,4.0,8.0,8.0,（株）ギフ加藤製作所,1.676,0.22,2.05,2.53,6.76,7.78,0.9,2.563524453809471,3,TP341ﾌﾀﾅｼ,1,6,4.92,7,1.83,0.48,4.23,1.0200000000000005,5.73,0.12,6.366666666666667,2.235203955821469,24.188866670966906,0.16291951772969238,97.81,480.0,2.MGケース
3,33490ECB010    ,2023,36,54.0,435.0,464.0,マレリ（株）,90.0,0.32,2.31,2.61,4.94,5.13,1.02,1.0520213475650433,3,TP341ﾌﾀﾅｼ,1,6,4.92,514,1.99,0.2999999999999998,2.3300000000000005,0.1899999999999995,2.82,0.23,2.764705882352941,2.6805539702469283,6.081081081081082,2.1109350237717908,97.81,480.0,7.ファイナル前半
4,33490ECE010    ,2023,36,98.0,605.0,620.0,マレリ（株）,133.75,0.32,2.31,2.64,5.115,5.27,1.02,1.042772559066325,3,TP341ﾌﾀﾅｼ,1,6,4.92,680,1.99,0.3300000000000001,2.475,0.15499999999999936,2.9599999999999995,0.23,2.9019607843137254,2.8385863957240267,7.426117706491537,2.6919168930391844,97.81,480.0,7.ファイナル前半
5,34989ECB020    ,2023,36,7.0,6.0,9.0,（株）槌屋,1.79,0.26,3.475,3.905,8.745000000000001,9.405,0.88,2.543524453809471,3,TP341ﾌﾀﾅｼ,1,6,4.92,6,3.215,0.4300000000000006,4.840000000000002,0.6600000000000001,5.9300000000000015,0.0,6.738636363636365,2.331410649942272,39.63460667371281,0.17490188001450224,97.81,480.0,8.ファイナル後半
6,34989ECB030    ,2023,36,4.0,3.0,4.0,（株）槌屋,0.0,0.26,4.49,4.86,7.97,9.76,0.88,4.207048907618941,3,TP341ﾌﾀﾅｼ,1,6,4.92,3,4.23,0.3700000000000001,3.1099999999999994,1.79,5.27,0.0,5.988636363636362,1.2526595520332695,inf,0.0,97.81,480.0,8.ファイナル後半
7,35145ECB010    ,2023,36,7.0,18.0,19.0,三共鋼業（株）,3.48,0.1,1.87,2.17,5.025,5.83,0.82,1.6205336891260838,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,20,1.77,0.2999999999999998,2.8550000000000004,0.8049999999999997,3.96,0.0,4.829268292682927,2.4436394174165774,16.091954022988507,0.4084978280525989,97.81,480.0,2.MGケース
8,35145ECE010    ,2023,36,7.0,24.0,23.0,三共鋼業（株）,5.35,0.1,1.86,2.22,5.13,5.78,0.82,1.3893139766581268,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,27,1.76,0.3600000000000001,2.91,0.6500000000000004,3.92,0.0,4.780487804878049,2.8215364315481923,10.467289719626168,0.5798402923200192,97.81,480.0,2.MGケース
9,35145ECE020    ,2023,36,6.0,23.0,25.0,（株）浅賀井製作所,5.35,0.56,1.84,2.17,4.43,4.61,0.87,1.4393139766581269,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,27,1.28,0.32999999999999985,2.26,0.1800000000000006,2.7700000000000005,0.13,3.1839080459770117,1.924527966046386,8.97196261682243,0.5672706066349454,97.81,480.0,2.MGケース
10,35174ECB010    ,2023,36,16.0,88.0,93.0,（株）浅賀井製作所,18.0,0.53,1.84,2.0,4.29,4.5,0.87,1.0301067378252171,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,103,1.31,0.15999999999999992,2.29,0.21,2.66,0.13,3.057471264367817,2.5822566752799303,7.1111111111111125,1.2788632326820604,97.81,480.0,2.MGケース
11,35174ECE010    ,2023,36,15.5,54.0,60.0,（株）浅賀井製作所,13.375,0.29,1.835,2.0,5.0950000000000015,5.555,0.87,1.0977255906632508,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,66,1.545,0.16500000000000006,3.0950000000000006,0.4599999999999991,3.72,0.13,4.275862068965517,3.388825068524055,9.271028037383177,1.1668586806441117,97.81,480.0,2.MGケース
12,35174ECE020    ,2023,36,9.0,25.0,28.0,（株）浅賀井製作所,5.761111111111113,0.41,1.83,1.985,5.6400000000000015,5.75,0.87,1.3823825789923143,3,ＴＰ３４１フタナシ,1,6,4.92,30,1.42,0.1549999999999998,3.6550000000000007,0.10999999999999943,3.92,0.13,4.505747126436781,2.8356838834423668,15.833094425187,0.5268908965589741,97.81,480.0,2.MGケース
13,35195ECE010    ,2023,36,7.0,12.0,12.0,三共鋼業（株）,2.675,0.1,2.86,3.08,5.94,6.42,0.82,1.9586279533162536,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,14,2.76,0.2200000000000002,2.8599999999999994,0.4800000000000004,3.56,0.0,4.341463414634147,1.8175988931294385,20.934579439252328,0.3220303822122284,97.81,480.0,4.TA・カバー・メイン
14,35195TFG010    ,2023,36,6.0,11.0,12.0,三共鋼業（株）,2.675,0.1,3.85,4.055,6.96,7.575,0.82,1.9586279533162536,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,12,3.75,0.20499999999999965,2.905,0.6150000000000002,3.725,0.0,4.5426829268292686,1.901841538457067,17.94392523364486,0.32006102097970085,97.81,480.0,2.MGケース
15,35198ECE010    ,2023,36,6.0,12.0,12.0,サトープレス工業（株）,2.51,0.12,1.95,2.44,6.69,6.81,0.82,1.9586279533162536,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,13,1.83,0.49,4.25,0.11999999999999922,4.8599999999999985,0.0,5.926829268292682,2.481328826013784,19.123505976095625,0.3018639195045583,97.81,480.0,2.MGケース
16,35300ECB010    ,2023,36,121.5,323.0,352.0,アイシン精機（株）,74.58333333333333,0.21,1.18,1.7,4.97,5.2,0.91,0.9499245868914272,3,サンボックス＃２０Ｂフタナシ,1,2,1.82,392,0.97,0.52,3.27,0.23000000000000045,4.0200000000000005,0.14,4.417582417582418,4.2319148861650335,11.553548080351836,2.3110114990030763,97.81,480.0,3.ギヤサブ・共通部品
17,35312ECB010    ,2023,36,6.0,30.0,29.0,（株）旭工業所,5.7142857142857135,0.67,2.03,2.5,4.95,5.39,0.83,1.3343362241494328,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,33,1.36,0.4700000000000002,2.45,0.4399999999999995,3.36,0.0,4.048192771084337,2.518105960993316,8.4,0.5932203389830508,97.81,480.0,2.MGケース
18,3539450A010    ,2023,36,2.0,2.0,1.0,ミズショー（株）,0.895,0.225,3.075,3.465,3.705,6.005000000000001,0.84,4.167048907618942,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,2,2.85,0.3899999999999997,0.2400000000000002,2.3000000000000007,2.9300000000000006,0.0,3.488095238095239,0.7031354958764348,17.877094972067038,0.11021958789881288,97.81,480.0,3.ギヤサブ・共通部品
19,35409ECB010    ,2023,36,5.0,7.0,9.0,サンコール（株）,1.74,0.11,4.365,4.635,5.92,6.475,0.87,2.471067378252168,3,ＴＰ３４２フタアリ,1,4,8.04,8,4.255,0.2699999999999996,1.285,0.5549999999999997,2.1099999999999994,0.0,2.4252873563218382,0.8538820181797073,12.714881497304447,0.3777324743005517,97.81,480.0,4.TA・カバー・メイン
20,35441ECB010    ,2023,36,27.0,89.0,91.0,（株）ニフコ,18.64583333333333,0.07,2.23,2.57,6.01,6.08,0.86,1.019698347565709,3,ＴＰ３４２フタアリ,1,4,8.04,99,2.16,0.33999999999999986,3.44,0.07000000000000027,3.85,0.0,4.476744186046512,3.775626398915888,6.4072774014930545,2.249807378711669,97.81,480.0,2.MGケース
21,35441TFA010    ,2023,36,6.0,16.0,18.0,（株）ニフコ,3.6,0.07,2.23,2.55,6.19,6.65,0.86,1.6605336891260838,3,サンボックス＃９Ｆフタナシ,1,1,1.9,19,2.16,0.31999999999999984,3.640000000000001,0.46,4.42,0.0,5.1395348837209305,2.661794836770933,5.747126436781608,0.6297806625968198,97.81,480.0,2.MGケース
22,3548255A010    ,2023,36,6.0,6.0,8.0,サトープレス工業（株）,1.7833333333333334,0.115,1.945,2.44,6.665,6.83,0.82,2.527941929974381,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,6,1.83,0.4950000000000001,4.225,0.16500000000000006,4.885,0.0,5.9573170731707314,1.9324019836363515,26.91588785046729,0.21857216541350827,97.81,480.0,4.TA・カバー・メイン
23,35556ECB010    ,2023,36,4.0,17.0,18.0,（株）ギフ加藤製作所,3.6,0.15,3.02,3.485,4.945,5.335,0.9,1.7005336891260838,3,TP341ﾌﾀﾅｼ,1,6,4.92,20,2.87,0.4649999999999999,1.4600000000000004,0.3899999999999997,2.315,0.12,2.572222222222222,1.3613373347455966,11.26126126126126,0.3321911146358617,97.81,480.0,4.TA・カバー・メイン
24,35580ECB011    ,2023,36,54.0,232.0,306.0,アイシン精機（株）,60.0,0.17,1.17,1.9,4.045,4.28,0.91,0.9580320213475648,3,サンボックス＃２０Ｂフタナシ,1,2,1.82,338,1.0,0.73,2.145,0.2350000000000003,3.1100000000000003,0.14,3.417582417582418,3.2462380491473377,6.3829787234042525,1.3711507293354943,97.81,480.0,8.ファイナル後半
25,35595ECB010    ,2023,36,10.0,45.0,47.0,サトープレス工業（株）,9.0,0.12,1.95,2.44,4.48,4.99,0.82,1.1402134756504336,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,51,1.83,0.49,2.0400000000000005,0.5099999999999998,3.04,0.0,3.7073170731707314,2.6661674019120283,8.888888888888891,0.862895493767977,97.81,480.0,4.TA・カバー・メイン
26,35771ECB010    ,2023,36,27.0,437.0,459.0,アイシン機工（株）,90.0,0.39,1.19,1.41,1.68,1.82,0.7,0.7320213475650433,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,502,0.7999999999999999,0.22,0.27,0.14000000000000012,0.6300000000000001,0.07,0.9000000000000002,0.8606306388407913,2.4,0.9183673469387756,97.81,480.0,2.MGケース
27,35771ECE010    ,2023,36,47.0,381.0,400.0,アイシン機工（株）,89.16666666666669,0.39,1.19,1.42,2.13,2.34,0.7,0.7341588385994876,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,434,0.7999999999999999,0.23,0.71,0.21,1.15,0.07,1.6428571428571428,1.5664185180877048,4.216822429906541,2.371223745243152,97.81,480.0,2.MGケース
28,41310ECB010    ,2023,36,55.0,978.0,924.0,（株）オンド,180.0,0.19,1.18,1.62,1.88,1.96,1.1,1.1160106737825215,3,TP341ﾌﾀﾅｼ,1,6,4.92,974,0.99,0.44000000000000017,0.2599999999999998,0.08000000000000007,0.78,0.05,0.7090909090909091,0.6989180465060675,3.096846846846846,1.3065111551013855,97.81,480.0,1.デフ・大物ギヤ・Brg
29,41310ECE010    ,2023,36,136.0,1175.0,1202.0,（株）オンド,267.5,0.19,1.18,1.74,2.44,2.53,1.1,1.1113862795331626,3,TP341ﾌﾀﾅｼ,1,6,4.92,1264,0.99,0.56,0.7,0.08999999999999986,1.35,0.05,1.227272727272727,1.2146991778295724,5.1528163677696375,2.1549282598099007,97.81,480.0,1.デフ・大物ギヤ・Brg
30,5040056001E    ,2023,36,5.0,32.0,29.0,サトープレス工業（株）,5.8,0.12,1.95,2.33,4.3450000000000015,5.2,0.82,1.3003202134756504,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,34,1.83,0.3800000000000001,2.015000000000001,0.8549999999999995,3.25,0.0,3.963414634146342,2.4993843564986298,6.896551724137932,0.5789347600415238,97.81,480.0,3.ギヤサブ・共通部品
31,82824ECE010    ,2023,36,17.5,52.0,53.0,住友電装（株）,11.888888888888893,1.45,5.4,5.37,6.76,6.91,0.78,1.0361912894961571,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,59,3.95,-0.03000000000000025,1.3899999999999997,0.15000000000000036,1.5099999999999998,0.0,1.9358974358974361,1.457259885608795,11.775700934579435,1.1406322971024794,97.81,480.0,2.MGケース
32,9025006A007    ,2023,36,2.0,17.0,14.0,（株）ギフ加藤製作所,3.36,0.185,3.98,4.38,4.62,5.7799999999999985,0.9,1.7005336891260838,3,TP341ﾌﾀﾅｼ,1,6,4.92,18,3.795,0.3999999999999999,0.2400000000000002,1.1599999999999993,1.7999999999999994,0.12,2.0,1.0584912321995996,6.032818532818532,0.2958221686163517,97.81,480.0,2.MGケース
33,9033904A002    ,2023,36,3.0,5.0,3.0,サトープレス工業（株）,0.895,0.12,3.95,4.19,6.69,6.99,0.82,4.147048907618942,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,3,3.83,0.2400000000000002,2.5,0.2999999999999998,3.04,0.0,3.7073170731707314,0.7330513981677246,26.81564245810056,0.11076592159567283,97.81,480.0,4.TA・カバー・メイン
34,9034118060,2023,36,7.0,7.0,8.0,住友商事（株）鉄鋼部輸送機材,1.7833333333333334,0.23,4.91,5.18,9.87,10.73,0.94,2.6479419299743805,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,5,4.68,0.2699999999999996,4.69,0.8600000000000012,5.82,0.0,6.1914893617021285,2.1979333965440517,31.401869158878498,0.21918241156253068,97.81,480.0,2.MGケース
35,9036324A003    ,2023,36,7.0,86.0,84.0,日本精工（株）,16.363636363636363,0.15,1.34,1.55,1.94,2.1900000000000004,0.74,0.9161174116077384,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,88,1.1900000000000002,0.21,0.3899999999999999,0.25000000000000044,0.8500000000000003,0.09,1.1486486486486491,0.9278286704629864,3.4222222222222225,0.8402036857419981,97.81,480.0,1.デフ・大物ギヤ・Brg
36,9036324A004    ,2023,36,19.0,147.0,145.0,日本精工（株）,27.93333333333333,0.16,1.34,1.55,2.14,2.29,0.74,0.8398114672285683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,149,1.1800000000000002,0.21,0.5900000000000001,0.1499999999999999,0.95,0.09,1.2837837837837838,1.1312062731592138,5.441527446300716,1.3746671685758791,97.81,480.0,1.デフ・大物ギヤ・Brg
37,9036324A005    ,2023,36,18.0,112.0,113.0,日本精工（株）,24.318181818181817,0.15,1.34,1.54,2.29,2.46,0.74,0.8652490748647879,3,ﾃﾝﾊﾞｺ10ﾌﾀﾅｼ,1,8,9.0,115,1.1900000000000002,0.2,0.75,0.16999999999999993,1.12,0.09,1.5135135135135134,1.2944249610148637,5.921495327102805,1.7686633280565345,97.81,480.0,1.デフ・大物ギヤ・Brg
38,9036340A010    ,2023,36,15.0,109.0,106.0,日本精工（株）,21.6625,0.16,1.34,1.55,2.255,2.545,0.76,0.8930819563047576,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,112,1.1800000000000002,0.21,0.7049999999999998,0.29000000000000004,1.2049999999999998,0.09,1.5855263157894737,1.34926026832503,5.539526832083093,1.2460255075729485,97.81,480.0,
39,9036345A004    ,2023,36,16.0,35.0,47.0,岡谷鋼機（株）,9.944444444444443,0.13,2.46,2.71,5.6850000000000005,5.8,0.87,1.1694344016857048,3,TP341ﾌﾀﾅｼ,1,6,4.92,52,2.33,0.25,2.9750000000000005,0.11499999999999932,3.34,0.0,3.839080459770115,2.8560815341035712,16.30680960289899,0.8666713249424441,97.81,480.0,4.TA・カバー・メイン
40,9036628A005    ,2023,36,8.0,30.0,31.0,（株）ジェイテクト,6.0,0.09,2.03,2.35,5.14,5.68,0.81,1.2903202134756504,3,TP341ﾌﾀﾅｼ,1,6,4.92,35,1.94,0.3200000000000003,2.79,0.54,3.65,0.0,4.5061728395061715,2.8287551895108547,13.513513513513516,0.5400474365991607,97.81,480.0,1.デフ・大物ギヤ・Brg
41,9036628A006    ,2023,36,7.0,20.0,23.0,（株）ジェイテクト,4.5,0.09,2.03,2.35,5.69,6.05,0.81,1.4504269513008672,3,TP341ﾌﾀﾅｼ,1,6,4.92,25,1.94,0.3200000000000003,3.3400000000000003,0.35999999999999943,4.02,0.0,4.962962962962962,2.7715976984532165,15.765765765765765,0.4181409678591129,97.81,480.0,1.デフ・大物ギヤ・Brg
42,9036628A007    ,2023,36,11.0,33.0,33.0,（株）ジェイテクト,7.430555555555554,0.09,2.03,2.35,5.31,5.71,0.81,1.2199060631938514,3,TP341ﾌﾀﾅｼ,1,6,4.92,37,1.94,0.3200000000000003,2.9599999999999995,0.4000000000000004,3.68,0.0,4.5432098765432105,3.016625714905741,15.003788835564539,0.6621024717338913,97.81,480.0,1.デフ・大物ギヤ・Brg
43,9036628A008    ,2023,36,8.0,24.0,24.0,（株）ジェイテクト,5.35,0.09,2.03,2.475,5.7650000000000015,6.035,0.81,1.379313976658127,3,TP341ﾌﾀﾅｼ,1,6,4.92,26,1.94,0.44499999999999984,3.2900000000000014,0.2699999999999996,4.005000000000001,0.0,4.9444444444444455,2.903617354551515,15.155342258145998,0.4903610667577518,97.81,480.0,1.デフ・大物ギヤ・Brg
44,9036630A017    ,2023,36,15.0,60.0,58.0,（株）ジェイテクト,12.430555555555555,0.09,2.03,2.62,5.15,5.61,0.81,1.049547521348564,3,TP341ﾌﾀﾅｼ,1,6,4.92,65,1.94,0.5900000000000003,2.53,0.46,3.5800000000000005,0.0,4.419753086419753,3.4109937160349415,12.230107202174239,1.0051332665719868,97.81,480.0,1.デフ・大物ギヤ・Brg
45,9036630A018    ,2023,36,22.0,116.0,112.0,（株）ジェイテクト,23.552631578947373,0.09,2.03,2.62,4.67,4.82,0.54,0.6664278584895198,3,TP341ﾌﾀﾅｼ,1,6,4.92,123,1.94,0.5900000000000003,2.05,0.15000000000000036,2.7900000000000005,0.0,5.166666666666667,4.1864996555270455,9.467008908349689,1.5099437603244568,97.81,480.0,1.デフ・大物ギヤ・Brg
46,9036652A003    ,2023,36,12.0,41.0,40.0,（株）ジェイテクト,8.641666666666666,0.09,2.03,2.63,5.42,5.855,0.81,1.1515883859948761,3,TP341ﾌﾀﾅｼ,1,6,4.92,44,1.94,0.6000000000000001,2.79,0.4350000000000005,3.8250000000000006,0.0,4.722222222222221,3.321499284395371,14.073861711277333,0.752529306385462,97.81,480.0,1.デフ・大物ギヤ・Brg
47,9036652A004    ,2023,36,10.0,38.0,37.0,（株）ジェイテクト,8.492063492063492,0.09,2.03,2.485,4.91,5.305,0.81,1.16866780529462,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,42,1.94,0.4550000000000001,2.4250000000000003,0.3949999999999996,3.275,0.0,4.0432098765432105,2.802336117383139,9.42056074766355,0.8355489448731059,97.81,480.0,1.デフ・大物ギヤ・Brg
48,9036658A001    ,2023,36,9.0,40.0,40.0,（株）ジェイテクト,8.0,0.09,2.025,2.3200000000000003,4.605,4.855,0.81,1.1702401601067378,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,46,1.935,0.2950000000000004,2.285,0.25,2.8300000000000005,0.0,3.493827160493828,2.4183070248946814,9.0,0.7894736842105263,97.81,480.0,1.デフ・大物ギヤ・Brg
49,9036658A002    ,2023,36,10.0,48.0,50.0,（株）ジェイテクト,10.0,0.09,2.03,2.33,4.695,5.18,0.81,1.0981921280853904,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,56,1.94,0.3000000000000003,2.365,0.4849999999999994,3.15,0.0,3.888888888888888,2.868350554917719,8.0,0.9090909090909092,97.81,480.0,1.デフ・大物ギヤ・Brg
50,9036659A009    ,2023,36,27.0,118.0,116.0,（株）ジェイテクト,24.86111111111111,0.09,2.03,2.33,4.7,4.915,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,130,1.94,0.3000000000000003,2.37,0.21499999999999986,2.885,0.0,3.561728395061728,3.102905375505292,8.688268156424579,1.6721785087175522,97.81,480.0,1.デフ・大物ギヤ・Brg
51,9036659A010    ,2023,36,28.0,121.0,117.0,（株）ジェイテクト,24.86111111111111,0.09,2.03,2.35,5.03,5.25,0.81,0.929773760674282,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,131,1.94,0.3200000000000003,2.68,0.21999999999999967,3.22,0.0,3.975308641975309,3.4632080794201183,9.010055865921787,1.7002270022417532,97.81,480.0,1.デフ・大物ギヤ・Brg
52,G1250ECB010    ,2023,36,6.0,18.0,19.0,（株）バルカー,2.8,0.37,5.05,5.43,6.4849999999999985,6.8599999999999985,1.14,2.023435582822086,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,20,4.68,0.3799999999999999,1.0549999999999995,0.375,1.81,0.24,1.587719298245614,0.8945182220605177,17.142857142857142,0.3336510962821735,97.81,480.0,2.MGケース
53,G1250ECC010    ,2023,36,5.0,10.0,11.0,（株）バルカー,3.0,0.37,5.05,5.45,7.82,8.46,1.14,2.1926315789473683,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,13,4.68,0.4000000000000004,2.37,0.6400000000000006,3.410000000000001,0.24,2.99122807017544,1.5552088334133467,13.333333333333336,0.3512880562060889,97.81,480.0,2.MGケース
54,G1250ECE010    ,2023,36,15.0,41.0,40.0,（株）バルカー,8.641666666666666,0.37,5.045,5.395,6.635,6.975,1.14,1.481588385994876,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,44,4.675,0.34999999999999964,1.2400000000000002,0.33999999999999986,1.93,0.24,1.6929824561403508,1.3026559996311111,13.886210221793638,0.910265415078542,97.81,480.0,2.MGケース
55,G9201ECB030    ,2023,36,43.0,286.0,228.0,佐藤工業（株）,45.0,4.08,5.01,6.1,6.64,6.8,0.74,0.8040426951300867,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,253,0.9299999999999996,1.09,0.54,0.16000000000000014,1.79,0.05,2.418918918918919,2.2262499377727627,7.6444444444444475,2.0336311087756167,97.81,480.0,8.ファイナル後半
56,G9201ECE010    ,2023,36,36.0,306.0,298.0,佐藤工業（株）,66.875,2.62,5.01,6.12,6.67,6.78,0.74,0.7855451181326502,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,328,2.39,1.1100000000000003,0.5499999999999998,0.11000000000000032,1.7700000000000005,0.05,2.391891891891893,2.2532123988085324,4.306542056074767,1.4772841672299482,97.81,480.0,8.ファイナル後半
57,01912ECB040    ,2023,37,26.0,92.0,81.0,愛産樹脂工業（株）,17.9,0.26,4.4,4.38,5.365,5.7,0.67,0.8363524453809471,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,90,4.1400000000000015,-0.020000000000000462,0.9850000000000004,0.335,1.2999999999999998,0.0,1.9402985074626864,1.554368624351744,11.620111731843574,1.5303018844349163,93.505,462.0,8.ファイナル後半
58,01912ECB060    ,2023,37,2.0,5.0,4.0,新光ゴム工業（株）,0.84,0.12,5.4,5.36,8.03,9.41,0.78,3.9821347565043372,3,ｻﾝﾎﾞｯｸｽ＃24Aﾌﾀｱﾘ,1,4,4.0,5,5.28,-0.040000000000000036,2.669999999999999,1.3800000000000008,4.01,0.0,5.1410256410256405,1.0069975641708628,19.047619047619047,0.10362898848237813,93.505,462.0,8.ファイナル後半
